study_accession	sample_accession	secondary_sample_accession	sample_alias	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	library_source	library_selection	read_count	base_count	experiment_title	fastq_ftp
PRJEB634	SAMEA2053609	ERS217393	SAEN180-sc-2013-02-27T10:29:48Z-1577222	ERX284576	ERR311295	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3730990	746198000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311295/ERR311295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311295/ERR311295_2.fastq.gz
PRJEB634	SAMEA2053409	ERS217395	SAEN199-sc-2013-02-27T10:29:50Z-1577224	ERX284577	ERR311296	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3738275	747655000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311296/ERR311296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311296/ERR311296_2.fastq.gz
PRJEB634	SAMEA2053610	ERS217396	SAEN203-sc-2013-02-27T10:29:51Z-1577225	ERX284578	ERR311297	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3737309	747461800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311297/ERR311297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311297/ERR311297_2.fastq.gz
PRJEB634	SAMEA2053410	ERS217398	SAEN220-sc-2013-02-27T10:29:53Z-1577227	ERX284579	ERR311298	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4061549	812309800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311298/ERR311298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311298/ERR311298_2.fastq.gz
PRJEB634	SAMEA2053611	ERS217399	SAEN256-sc-2013-02-27T10:29:54Z-1577228	ERX284580	ERR311299	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3704128	740825600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311299/ERR311299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311299/ERR311299_2.fastq.gz
PRJEB634	SAMEA2053411	ERS217401	SAEN280-sc-2013-02-27T10:29:56Z-1577230	ERX284581	ERR311300	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3871315	774263000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311300/ERR311300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311300/ERR311300_2.fastq.gz
PRJEB634	SAMEA2053612	ERS217402	SAEN284-sc-2013-02-27T10:29:57Z-1577231	ERX284582	ERR311301	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3793092	758618400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311301/ERR311301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311301/ERR311301_2.fastq.gz
PRJEB634	SAMEA2053413	ERS217406	SAEN378-sc-2013-02-27T10:30:01Z-1577235	ERX284583	ERR311302	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3859342	771868400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311302/ERR311302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311302/ERR311302_2.fastq.gz
PRJEB634	SAMEA2053614	ERS217407	SAEN390-sc-2013-02-27T10:30:02Z-1577236	ERX284584	ERR311303	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4260434	852086800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311303/ERR311303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311303/ERR311303_2.fastq.gz
PRJEB634	SAMEA2054425	ERS217408	SAEN392-sc-2013-02-27T10:30:06Z-1577237	ERX284585	ERR311304	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3586132	717226400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311304/ERR311304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311304/ERR311304_2.fastq.gz
PRJEB634	SAMEA2053615	ERS217410	SAEN437-sc-2013-02-27T10:30:08Z-1577239	ERX284586	ERR311305	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3887067	777413400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311305/ERR311305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311305/ERR311305_2.fastq.gz
PRJEB634	SAMEA2054426	ERS217411	SAEN1975-sc-2013-02-27T10:30:09Z-1577240	ERX284587	ERR311306	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3845747	769149400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311306/ERR311306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311306/ERR311306_2.fastq.gz
PRJEB634	SAMEA2053616	ERS217413	SAEN2209-sc-2013-02-27T10:30:12Z-1577242	ERX284588	ERR311307	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3577443	715488600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311307/ERR311307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311307/ERR311307_2.fastq.gz
PRJEB634	SAMEA2053416	ERS217415	SAEN2862-sc-2013-02-27T10:30:14Z-1577244	ERX284589	ERR311308	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3554001	710800200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311308/ERR311308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311308/ERR311308_2.fastq.gz
PRJEB634	SAMEA2053417	ERS217418	SAEN4582-sc-2013-02-27T10:30:17Z-1577247	ERX284590	ERR311309	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3392499	678499800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311309/ERR311309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311309/ERR311309_2.fastq.gz
PRJEB634	SAMEA1963978	ERS217419	SAEN6442-sc-2013-02-27T10:30:18Z-1577248	ERX284591	ERR311310	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4311588	862317600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311310/ERR311310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311310/ERR311310_2.fastq.gz
PRJEB634	SAMEA2054486	ERS217420	SAEN6474-sc-2013-02-27T10:30:19Z-1577249	ERX284592	ERR311311	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	4403207	880641400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311311/ERR311311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR311/ERR311311/ERR311311_2.fastq.gz
PRJEB634	SAMEA2053243	ERS217197	P2-sc-2013-02-27T10:26:05Z-1500412	ERX290168	ERR317020	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3168759	633751800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317020/ERR317020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317020/ERR317020_2.fastq.gz
PRJEB634	SAMEA2053389	ERS217198	P4-sc-2013-02-27T10:26:09Z-1500413	ERX290169	ERR317021	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3260401	652080200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317021/ERR317021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317021/ERR317021_2.fastq.gz
PRJEB634	SAMEA2054173	ERS217199	P5-sc-2013-02-27T10:26:10Z-1500414	ERX290170	ERR317022	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3304248	660849600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317022/ERR317022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317022/ERR317022_2.fastq.gz
PRJEB634	SAMEA2053244	ERS217200	P6-sc-2013-02-27T10:26:12Z-1500415	ERX290171	ERR317023	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3315156	663031200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317023/ERR317023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317023/ERR317023_2.fastq.gz
PRJEB634	SAMEA2053390	ERS217201	P7-sc-2013-02-27T10:26:13Z-1500416	ERX290172	ERR317024	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3586116	717223200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317024/ERR317024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317024/ERR317024_2.fastq.gz
PRJEB634	SAMEA2054174	ERS217202	P8-sc-2013-02-27T10:26:14Z-1500417	ERX290173	ERR317025	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3445379	689075800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317025/ERR317025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317025/ERR317025_2.fastq.gz
PRJEB634	SAMEA2053245	ERS217203	P9-sc-2013-02-27T10:26:15Z-1500418	ERX290174	ERR317026	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2999997	599999400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317026/ERR317026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317026/ERR317026_2.fastq.gz
PRJEB634	SAMEA2053391	ERS217204	P10-sc-2013-02-27T10:26:17Z-1500419	ERX290175	ERR317027	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2320635	464127000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317027/ERR317027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317027/ERR317027_2.fastq.gz
PRJEB634	SAMEA2054175	ERS217205	P11-sc-2013-02-27T10:26:18Z-1500420	ERX290176	ERR317028	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2675913	535182600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317028/ERR317028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317028/ERR317028_2.fastq.gz
PRJEB634	SAMEA2053246	ERS217206	P12-sc-2013-02-27T10:26:19Z-1500421	ERX290177	ERR317029	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2886196	577239200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317029/ERR317029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317029/ERR317029_2.fastq.gz
PRJEB634	SAMEA2053392	ERS217207	P13-sc-2013-02-27T10:26:21Z-1500422	ERX290178	ERR317030	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2792060	558412000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317030/ERR317030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317030/ERR317030_2.fastq.gz
PRJEB634	SAMEA2054176	ERS217208	P14-sc-2013-02-27T10:26:22Z-1500423	ERX290179	ERR317031	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3440646	688129200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317031/ERR317031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317031/ERR317031_2.fastq.gz
PRJEB634	SAMEA2053247	ERS217209	P15-sc-2013-02-27T10:26:23Z-1500424	ERX290180	ERR317032	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3578440	715688000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317032/ERR317032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317032/ERR317032_2.fastq.gz
PRJEB634	SAMEA2053393	ERS217210	P16-sc-2013-02-27T10:26:24Z-1500425	ERX290181	ERR317033	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3029245	605849000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317033/ERR317033_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317033/ERR317033_2.fastq.gz
PRJEB634	SAMEA2054177	ERS217211	P17-sc-2013-02-27T10:26:25Z-1500426	ERX290182	ERR317034	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3286265	657253000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317034/ERR317034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317034/ERR317034_2.fastq.gz
PRJEB634	SAMEA2053248	ERS217212	P19-sc-2013-02-27T10:26:26Z-1500427	ERX290183	ERR317035	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2769555	553911000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317035/ERR317035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317035/ERR317035_2.fastq.gz
PRJEB634	SAMEA2053394	ERS217213	RD2-sc-2013-02-27T10:26:27Z-1500428	ERX290184	ERR317036	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2808268	561653600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317036/ERR317036_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317036/ERR317036_2.fastq.gz
PRJEB634	SAMEA2054178	ERS217214	RD3-sc-2013-02-27T10:26:28Z-1500429	ERX290185	ERR317037	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3507662	701532400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317037/ERR317037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317037/ERR317037_2.fastq.gz
PRJEB634	SAMEA2053249	ERS217215	RD6-sc-2013-02-27T10:26:29Z-1500430	ERX290186	ERR317038	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2835492	567098400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317038/ERR317038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317038/ERR317038_2.fastq.gz
PRJEB634	SAMEA2053395	ERS217216	RD26-sc-2013-02-27T10:26:30Z-1500431	ERX290187	ERR317039	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2774922	554984400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317039/ERR317039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317039/ERR317039_2.fastq.gz
PRJEB634	SAMEA2054179	ERS217217	RD30-sc-2013-02-27T10:26:31Z-1500432	ERX290188	ERR317040	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3303406	660681200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317040/ERR317040_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317040/ERR317040_2.fastq.gz
PRJEB634	SAMEA2053250	ERS217218	RD36-sc-2013-02-27T10:26:32Z-1500433	ERX290189	ERR317041	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3236880	647376000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317041/ERR317041_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317041/ERR317041_2.fastq.gz
PRJEB634	SAMEA2053396	ERS217219	RD40-sc-2013-02-27T10:26:33Z-1500434	ERX290190	ERR317042	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2784281	556856200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317042/ERR317042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317042/ERR317042_2.fastq.gz
PRJEB634	SAMEA2054180	ERS217220	RD42-sc-2013-02-27T10:26:34Z-1500435	ERX290191	ERR317043	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2836761	567352200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317043/ERR317043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317043/ERR317043_2.fastq.gz
PRJEB634	SAMEA2053251	ERS217221	RD44-sc-2013-02-27T10:26:36Z-1500436	ERX290192	ERR317044	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2564095	512819000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317044/ERR317044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317044/ERR317044_2.fastq.gz
PRJEB634	SAMEA2053397	ERS217222	RD46-sc-2013-02-27T10:26:37Z-1500437	ERX290193	ERR317045	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3322390	664478000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317045/ERR317045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317045/ERR317045_2.fastq.gz
PRJEB634	SAMEA2054181	ERS217223	RD45-sc-2013-02-27T10:26:38Z-1500438	ERX290194	ERR317046	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3032180	606436000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317046/ERR317046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317046/ERR317046_2.fastq.gz
PRJEB634	SAMEA2053252	ERS217224	RD49-sc-2013-02-27T10:26:39Z-1500439	ERX290195	ERR317047	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2999106	599821200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317047/ERR317047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317047/ERR317047_2.fastq.gz
PRJEB634	SAMEA2053398	ERS217225	RD50-sc-2013-02-27T10:26:41Z-1500440	ERX290196	ERR317048	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3340093	668018600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317048/ERR317048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317048/ERR317048_2.fastq.gz
PRJEB634	SAMEA2054247	ERS217226	RD51-sc-2013-02-27T10:26:42Z-1500441	ERX290197	ERR317049	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2687872	537574400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317049/ERR317049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317049/ERR317049_2.fastq.gz
PRJEB634	SAMEA2053253	ERS217227	RD54-sc-2013-02-27T10:26:43Z-1500442	ERX290198	ERR317050	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2707587	541517400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317050/ERR317050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317050/ERR317050_2.fastq.gz
PRJEB634	SAMEA2053399	ERS217228	RD55-sc-2013-02-27T10:26:44Z-1500443	ERX290199	ERR317051	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2922237	584447400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317051/ERR317051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317051/ERR317051_2.fastq.gz
PRJEB634	SAMEA2054248	ERS217229	RD57-sc-2013-02-27T10:26:45Z-1500444	ERX290200	ERR317052	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2684639	536927800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317052/ERR317052_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317052/ERR317052_2.fastq.gz
PRJEB634	SAMEA2053254	ERS217230	RD72-sc-2013-02-27T10:26:46Z-1500445	ERX290201	ERR317053	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3000068	600013600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317053/ERR317053_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317053/ERR317053_2.fastq.gz
PRJEB634	SAMEA2053400	ERS217231	RD76-sc-2013-02-27T10:26:47Z-1500446	ERX290202	ERR317054	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2912996	582599200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317054/ERR317054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317054/ERR317054_2.fastq.gz
PRJEB634	SAMEA2054249	ERS217232	RD79-sc-2013-02-27T10:26:48Z-1500447	ERX290203	ERR317055	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2723387	544677400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317055/ERR317055_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317055/ERR317055_2.fastq.gz
PRJEB634	SAMEA2053255	ERS217233	RD84-sc-2013-02-27T10:26:49Z-1500448	ERX290204	ERR317056	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3180115	636023000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317056/ERR317056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317056/ERR317056_2.fastq.gz
PRJEB634	SAMEA2053401	ERS217234	RD94-sc-2013-02-27T10:26:51Z-1500449	ERX290205	ERR317057	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2716765	543353000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317057/ERR317057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317057/ERR317057_2.fastq.gz
PRJEB634	SAMEA2054250	ERS217235	SEA-sc-2013-02-27T10:26:52Z-1500450	ERX290206	ERR317058	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2828856	565771200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317058/ERR317058_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR317/ERR317058/ERR317058_2.fastq.gz
